utterance_id,timestamp,name,group,date,block_index,llm_label,llm_engagement,llm_reference
0,,T,Keila Delilah,1.22,1,Uncorrelated,,
1,1:24,Keila,Keila Delilah,1.22,2,Uncorrelated,,
2,1:24,Delilah,Keila Delilah,1.22,2,Uncorrelated,,
3,1:24,Diego,Keila Delilah,1.22,2,Uncorrelated,,
4,1:24,Keila,Keila Delilah,1.22,2,Uncorrelated,,
5,1:24,Delilah,Keila Delilah,1.22,2,Uncorrelated,,
6,1:24,Both,Keila Delilah,1.22,2,Uncorrelated,,
7,1:24,Delilah,Keila Delilah,1.22,2,Uncorrelated,,
8,1:24,Diego,Keila Delilah,1.22,2,Uncorrelated,,
9,7:09,Delilah,Keila Delilah,1.22,3,Uncorrelated,,
10,7:09,Keila,Keila Delilah,1.22,3,Uncorrelated,,
11,7:09,Delilah,Keila Delilah,1.22,3,Uncorrelated,,
12,7:09,Keila,Keila Delilah,1.22,3,Engage Others Idea,LOW,Delilah
13,7:09,Delilah,Keila Delilah,1.22,3,Uncorrelated,,
14,7:09,Keila,Keila Delilah,1.22,3,Uncorrelated,,
15,13:37,Delilah,Keila Delilah,1.22,4,Uncorrelated,,
16,13:37,T,Keila Delilah,1.22,4,Uncorrelated,,
17,13:37,Delilah,Keila Delilah,1.22,4,Uncorrelated,,
18,13:37,T,Keila Delilah,1.22,4,Uncorrelated,,
19,13:37,Both,Keila Delilah,1.22,4,Uncorrelated,,
20,1:55,Delilah,Keila Delilah,1.22,5,Explain Own Idea,,
21,2:49,Delilah,Keila Delilah,1.22,6,Explain Own Idea,,
22,2:49,Keila,Keila Delilah,1.22,6,Explain Own Idea,,
23,2:49,Delilah,Keila Delilah,1.22,6,Explain Own Idea,,
24,2:49,Keila,Keila Delilah,1.22,6,Engage Others Idea,MEDIUM,Delilah
25,2:49,Delilah,Keila Delilah,1.22,6,Uncorrelated,,
26,2:49,Keila,Keila Delilah,1.22,6,Uncorrelated,,
27,2:49,Delilah,Keila Delilah,1.22,6,Uncorrelated,,
28,2:49,Keila,Keila Delilah,1.22,6,Engage Others Idea,MEDIUM,Delilah
29,2:49,Delilah,Keila Delilah,1.22,6,Uncorrelated,,
30,3:45,Keila,Keila Delilah,1.22,7,Engage Others Idea,HIGH,Previous Speaker
31,3:45,Delilah,Keila Delilah,1.22,7,Engage Others Idea,MEDIUM,Keila
32,3:45,Keila,Keila Delilah,1.22,7,Engage Others Idea,LOW,Delilah
33,4:11,Delilah,Keila Delilah,1.22,8,Explain Own Idea,,
34,4:11,Keila,Keila Delilah,1.22,8,Explain Own Idea,,
35,4:11,Delilah,Keila Delilah,1.22,8,Engage Others Idea,MEDIUM,Keila
36,4:44,Keila,Keila Delilah,1.22,9,Explain Own Idea,,
37,4:44,Delilah,Keila Delilah,1.22,9,Uncorrelated,,
38,4:44,Keila,Keila Delilah,1.22,9,Uncorrelated,,
39,5:08,Keila,Keila Delilah,1.22,10,Explain Own Idea,,
40,5:08,Delilah,Keila Delilah,1.22,10,Engage Others Idea,HIGH,Keila
41,5:08,Keila,Keila Delilah,1.22,10,Explain Own Idea,,
42,5:08,Delilah,Keila Delilah,1.22,10,Uncorrelated,,
43,5:08,Keila,Keila Delilah,1.22,10,Explain Own Idea,,
44,5:53,Keila,Keila Delilah,1.22,11,Explain Own Idea,,
45,5:53,Delilah,Keila Delilah,1.22,11,Uncorrelated,,
46,5:53,Keila,Keila Delilah,1.22,11,Explain Own Idea,,
47,6:16,Keila,Keila Delilah,1.22,12,Uncorrelated,,
48,6:16,Delilah,Keila Delilah,1.22,12,Uncorrelated,,
49,6:16,Delilah,Keila Delilah,1.22,12,Engage Others Idea,HIGH,Keila
50,6:16,Keila,Keila Delilah,1.22,12,Explain Own Idea,,
51,7:39,Keila,Keila Delilah,1.22,13,Uncorrelated,,
52,7:39,Delilah,Keila Delilah,1.22,13,Engage Others Idea,LOW,Keila
53,7:39,Keila,Keila Delilah,1.22,13,Uncorrelated,,
54,7:39,Delilah,Keila Delilah,1.22,13,Uncorrelated,,
55,7:39,Keila,Keila Delilah,1.22,13,Engage Others Idea,HIGH,Delilah
56,8:30,Keila,Keila Delilah,1.22,14,Uncorrelated,,
57,8:48,Keila,Keila Delilah,1.22,15,Uncorrelated,,
58,8:48,Delilah,Keila Delilah,1.22,15,Uncorrelated,,
59,8:48,Keila,Keila Delilah,1.22,15,Explain Own Idea,,
60,8:48,T,Keila Delilah,1.22,15,Uncorrelated,,
61,8:48,Keila,Keila Delilah,1.22,15,Explain Own Idea,,
